Product code,Product,Tahun,Ina Value,World Value,RCA 
0807,"Melons, incl. watermelons, and papaws (papayas), fresh",2017,0,27943,0.00
0903,Mate,2017,0,283,0.00
1001,Wheat and meslin,2017,0,1528840,0.00
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",2017,0,48893,0.00
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",2017,4,45381,0.00
0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",2017,0,47694,0.00
1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ...",2017,55,42922,0.05
1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ...",2017,0,735745,0.00
1502,"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)",2017,0,17836,0.00
0701,"Potatoes, fresh or chilled",2017,0,23582,0.00
0806,"Grapes, fresh or dried",2017,0,180233,0.00
0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",2017,0,46608,0.00
1509,Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,2017,0,309458,0.00
1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...",2017,0,19102,0.00
1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ...",2017,0,27078,0.00
0702,"Tomatoes, fresh or chilled",2017,0,26752,0.00
0805,"Citrus fruit, fresh or dried",2017,0,362150,0.00
0813,"""Dried apricots, prunes, apples, peaches, pears, papaws """"papayas"""", tamarinds and other edible ...",2017,0,52366,0.00
1004,Oats,2017,0,18933,0.00
1201,"Soya beans, whether or not broken",2017,0,1547212,0.00
1208,Flours and meals of oil seeds or oleaginous fruits (excluding mustard),2017,0,454,0.00
1505,"Wool grease and fatty substances derived therefrom, incl. lanolin",2017,0,16406,0.00
1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified",2017,0,1234,0.00
1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...",2017,0,6720,0.00
0707,"Cucumbers and gherkins, fresh or chilled",2017,93,24,146.39
0713,"Dried leguminous vegetables, shelled, whether or not skinned or split",2017,0,210062,0.00
1006,Rice,2017,0,359011,0.00
1007,Grain sorghum,2017,0,103345,0.00
1107,"Malt, whether or not roasted",2017,0,275035,0.00
1203,Copra,2017,0,0,
1206,"Sunflower seeds, whether or not broken",2017,0,5319,0.00
1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",2017,17,1226,0.52
0814,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",2017,2,9401,0.01
0909,"Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries",2017,1,18939,0.00
1003,Barley,2017,0,270861,0.00
1102,Cereal flours (excluding wheat or meslin),2017,0,1555,0.00
1202,"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)",2017,0,71584,0.00
1507,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)",2017,0,9194,0.00
1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ...",2017,39,39967,0.04
0808,"Apples, pears and quinces, fresh",2017,0,9509,0.00
1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",2017,21,41919,0.02
1204,"Linseed, whether or not broken",2017,0,2479,0.00
1205,"Rape or colza seeds, whether or not broken",2017,0,1153170,0.00
1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excluding emulsified, mixed or ...",2017,0,154,0.00
1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,2017,0,5483,0.00
1002,Rye,2017,0,7060,0.00
1103,"Cereal groats, meal and pellets",2017,0,643,0.00
1109,"Wheat gluten, whether or not dried",2017,0,43066,0.00
1213,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",2017,0,95585,0.00
0705,"""Lettuce """"Lactuca sativa"""" and chicory """"Cichorium spp."""", fresh or chilled""",2017,0,30242,0.00
1401,"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, ...",2017,24,8643,0.10
1101,Wheat or meslin flour,2017,23,3298,0.26
0810,"""Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ...",2017,0,384855,0.00
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes",2017,1,43075,0.00
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",2017,0,270376,0.00
0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ...",2017,0,61077,0.00
1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",2017,34,12319,0.10
0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ...",2017,0,58352,0.00
0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled",2017,7,10056,0.03
1209,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, ...",2017,498,210884,0.09
0906,Cinnamon and cinnamon-tree flowers,2017,35,9803,0.13
0905,Vanilla,2017,386,35702,0.41
0802,"Other nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts ...",2017,11,486947,0.00
1501,"Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excluding lard stearin ...",2017,0,3485,0.00
1005,Maize or corn,2017,356,3083234,0.00
0711,"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",2017,285,74345,0.14
0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",2017,545,355173,0.06
0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ...",2017,471,201229,0.09
1504,"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excluding ...",2017,1665,56202,1.12
1108,Starches; inulin,2017,2013,76437,0.99
1517,"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ...",2017,9377,42558,8.32
0907,"Cloves, whole fruit, cloves and stems",2017,228,3187,2.70
1301,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins",2017,416,11242,1.40
1515,"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ...",2017,276,137589,0.08
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",2017,1283,376692,0.13
0910,"""Ginger, saffron, turmeric """"curcuma"""", thyme, bay leaves, curry and other spices (excluding ...",2017,1160,130840,0.33
0603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, ...",2017,1218,348599,0.13
1207,"Other oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, ...",2017,118,232219,0.02
1106,"""Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ...",2017,357,12763,1.06
0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",2017,854,118379,0.27
1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ...",2017,1660,316188,0.20
0803,"Bananas, incl. plantains, fresh or dried",2017,1246,849307,0.06
1211,"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ...",2017,1289,272931,0.18
0602,"Live plants incl. their roots, cuttings and slips; mushroom spawn (excluding bulbs, tubers, ...",2017,1274,108558,0.44
0709,"""Other vegetables, fresh or chilled (excluding potatoes, tomatoes, alliaceous vegetables, edible ...",2017,703,394687,0.07
0902,"Tea, whether or not flavoured",2017,2282,177327,0.49
0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",2017,1687,70200,0.91
0714,"Roots and tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar ...",2017,5915,91574,2.44
1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",2017,7080,332179,0.81
0908,"Nutmeg, mace and cardamoms",2017,6325,12603,18.96
1520,"Glycerol, crude; glycerol waters and glycerol lyes",2017,1947,5378,13.68
1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",2017,8600,65601,4.95
0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the ...,2017,7723,126868,2.30
0710,"Vegetables, uncooked or cooked by steaming or boiling in water, frozen",2017,14109,902834,0.59
0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ...",2017,82420,1431983,2.17
1513,"""Coconut """"copra"""", palm kernel or babassu oil and fractions thereof, whether or not refined, ...",2017,78273,180390,16.39
1511,"Palm oil and its fractions, whether or not refined (excluding chemically modified)",2017,136595,529096,9.75
1404,"Vegetable products, n.e.s.",2017,79409,123903,24.21
0807,"Melons, incl. watermelons, and papaws (papayas), fresh",2018,3,30654,0.00
0903,Mate,2018,0,355,0.00
1001,Wheat and meslin,2018,0,1640601,0.00
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",2018,0,46674,0.00
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",2018,0,86772,0.00
0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",2018,0,36423,0.00
1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ...",2018,29,40424,0.03
1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ...",2018,0,779579,0.00
1502,"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)",2018,0,16060,0.00
0701,"Potatoes, fresh or chilled",2018,0,15751,0.00
0806,"Grapes, fresh or dried",2018,0,222575,0.00
0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",2018,0,48147,0.00
1509,Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,2018,0,318829,0.00
1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...",2018,0,20720,0.00
1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ...",2018,99,29546,0.13
0702,"Tomatoes, fresh or chilled",2018,0,34169,0.00
0805,"Citrus fruit, fresh or dried",2018,0,361635,0.00
0813,"""Dried apricots, prunes, apples, peaches, pears, papaws """"papayas"""", tamarinds and other edible ...",2018,1,58015,0.00
1004,Oats,2018,0,18699,0.00
1201,"Soya beans, whether or not broken",2018,0,1540695,0.00
1208,Flours and meals of oil seeds or oleaginous fruits (excluding mustard),2018,0,370,0.00
1505,"Wool grease and fatty substances derived therefrom, incl. lanolin",2018,0,20132,0.00
1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified",2018,0,1378,0.00
1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...",2018,0,5614,0.00
0707,"Cucumbers and gherkins, fresh or chilled",2018,0,75,0.00
0713,"Dried leguminous vegetables, shelled, whether or not skinned or split",2018,0,197271,0.00
1006,Rice,2018,0,492023,0.00
1007,Grain sorghum,2018,0,119722,0.00
1107,"Malt, whether or not roasted",2018,0,276968,0.00
1203,Copra,2018,0,0,
1206,"Sunflower seeds, whether or not broken",2018,0,5690,0.00
1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",2018,23,1340,0.66
0814,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",2018,0,11284,0.00
0909,"Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries",2018,0,19968,0.00
1003,Barley,2018,0,348795,0.00
1102,Cereal flours (excluding wheat or meslin),2018,62,1594,1.50
1202,"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)",2018,0,77016,0.00
1507,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)",2018,0,11993,0.00
1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ...",2018,178,40591,0.17
0808,"Apples, pears and quinces, fresh",2018,0,8152,0.00
1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",2018,0,40730,0.00
1204,"Linseed, whether or not broken",2018,0,2522,0.00
1205,"Rape or colza seeds, whether or not broken",2018,0,1125663,0.00
1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excluding emulsified, mixed or ...",2018,0,140,0.00
1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,2018,0,5940,0.00
1002,Rye,2018,0,8048,0.00
1103,"Cereal groats, meal and pellets",2018,0,636,0.00
1109,"Wheat gluten, whether or not dried",2018,0,48465,0.00
1213,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",2018,0,94761,0.00
0705,"""Lettuce """"Lactuca sativa"""" and chicory """"Cichorium spp."""", fresh or chilled""",2018,0,33441,0.00
1401,"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, ...",2018,1,7897,0.00
1101,Wheat or meslin flour,2018,26,3481,0.29
0810,"""Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ...",2018,0,450005,0.00
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes",2018,0,40456,0.00
0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",2018,1,259103,0.00
0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ...",2018,19,94698,0.01
1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",2018,2,11608,0.01
0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ...",2018,0,57983,0.00
0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled",2018,9,11502,0.03
1209,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, ...",2018,454,223158,0.08
0906,Cinnamon and cinnamon-tree flowers,2018,0,9539,0.00
0905,Vanilla,2018,21,38381,0.02
0802,"Other nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts ...",2018,12,547936,0.00
1501,"Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excluding lard stearin ...",2018,0,3088,0.00
1005,Maize or corn,2018,184,3374687,0.00
0711,"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water ...",2018,342,76194,0.17
0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",2018,226,340120,0.03
0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ...",2018,427,223038,0.07
1504,"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excluding ...",2018,512,50453,0.39
1108,Starches; inulin,2018,1581,87318,0.70
1517,"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ...",2018,10151,45982,8.49
0907,"Cloves, whole fruit, cloves and stems",2018,235,2644,3.42
1301,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins",2018,421,10167,1.59
1515,"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ...",2018,333,147672,0.09
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried",2018,1278,398630,0.12
0910,"""Ginger, saffron, turmeric """"curcuma"""", thyme, bay leaves, curry and other spices (excluding ...",2018,1625,132895,0.47
0603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, ...",2018,966,364877,0.10
1207,"Other oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, ...",2018,57,266711,0.01
1106,"""Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ...",2018,366,13254,1.06
0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",2018,1177,122003,0.37
1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ...",2018,1427,302137,0.18
0803,"Bananas, incl. plantains, fresh or dried",2018,1400,913126,0.06
1211,"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, ...",2018,1465,273463,0.21
0602,"Live plants incl. their roots, cuttings and slips; mushroom spawn (excluding bulbs, tubers, ...",2018,2206,111788,0.76
0709,"""Other vegetables, fresh or chilled (excluding potatoes, tomatoes, alliaceous vegetables, edible ...",2018,360,390864,0.04
0902,"Tea, whether or not flavoured",2018,1480,182392,0.31
0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",2018,1361,71862,0.73
0714,"Roots and tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar ...",2018,4821,89088,2.08
1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other ...",2018,8518,380478,0.86
0908,"Nutmeg, mace and cardamoms",2018,5317,10410,19.64
1520,"Glycerol, crude; glycerol waters and glycerol lyes",2018,3792,8450,17.26
1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",2018,8575,60031,5.49
0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the ...,2018,7545,117991,2.46
0710,"Vegetables, uncooked or cooked by steaming or boiling in water, frozen",2018,14667,952757,0.59
0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes ...",2018,84375,1262381,2.57
1513,"""Coconut """"copra"""", palm kernel or babassu oil and fractions thereof, whether or not refined, ...",2018,66468,151249,16.90
1511,"Palm oil and its fractions, whether or not refined (excluding chemically modified)",2018,179508,536679,12.86
1404,"Vegetable products, n.e.s.",2018,85398,128753,25.51
0807,"Melons, incl. watermelons, and papaws (papayas), fresh",2019,0,29193,0.00
0903,Mate,2019,0,469,0.00
1001,Wheat and meslin,2019,0,1473495,0.00
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin",2019,0,37130,0.00
0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",2019,5,35031,0.01
0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh",2019,0,40637,0.00
1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ...",2019,14,43561,0.01
1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ...",2019,0,834763,0.00
1502,"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)",2019,0,15018,0.00
0701,"Potatoes, fresh or chilled",2019,0,17939,0.00
0806,"Grapes, fresh or dried",2019,0,237355,0.00
0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",2019,0,42399,0.00
1509,Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ...,2019,0,319643,0.00
1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ...",2019,0,35576,0.00
1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured ...",2019,145,24756,0.26
0702,"Tomatoes, fresh or chilled",2019,38,34838,0.05
0805,"Citrus fruit, fresh or dried",2019,0,342335,0.00
0813,"""Dried apricots, prunes, apples, peaches, pears, papaws """"papayas"""", tamarinds and other edible ...",2019,0,52910,0.00
1004,Oats,2019,0,20516,0.00
1201,"Soya beans, whether or not broken",2019,0,1535324,0.00
1208,Flours and meals of oil seeds or oleaginous fruits (excluding mustard),2019,0,215,0.00
1505,"Wool grease and fatty substances derived therefrom, incl. lanolin",2019,0,18314,0.00
1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified",2019,0,1423,0.00
1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...",2019,0,4537,0.00
0707,"Cucumbers and gherkins, fresh or chilled",2019,0,138,0.00
0713,"Dried leguminous vegetables, shelled, whether or not skinned or split",2019,13,196040,0.00
1006,Rice,2019,0,489740,0.00
1007,Grain sorghum,2019,0,100494,0.00
1107,"Malt, whether or not roasted",2019,0,280906,0.00
1203,Copra,2019,0,0,
1206,"Sunflower seeds, whether or not broken",2019,0,8320,0.00
1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",2019,0,1104,0.00
0814,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved ...",2019,0,9904,0.00
0909,"Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries",2019,0,21944,0.00
1003,Barley,2019,0,322977,0.00
1102,Cereal flours (excluding wheat or meslin),2019,10,1368,0.33
1202,"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)",2019,0,71587,0.00
1507,"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)",2019,0,12329,0.00
1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ...",2019,185,47227,0.18
0808,"Apples, pears and quinces, fresh",2019,0,10896,0.00
1008,"Buckwheat, millet, canary seed and other cereals (excluding wheat and meslin, rye, barley, ...",2019,0,38046,0.00
1204,"Linseed, whether or not broken",2019,0,2255,0.00
1205,"Rape or colza seeds, whether or not broken",2019,0,1032930,0.00
1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excluding emulsified, mixed or ...",2019,0,133,0.00
1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,2019,0,10125,0.00
1002,Rye,2019,0,7886,0.00
1103,"Cereal groats, meal and pellets",2019,0,617,0.00
1109,"Wheat gluten, whether or not dried",2019,0,40028,0.00
1213,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",2019,1,92705,0.00
0705,"""Lettuce """"Lactuca sativa"""" and chicory """"Cichorium spp."""", fresh or chilled""",2019,0,22035,0.00
1401,"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, ...",2019,1,6601,0.01
1101,Wheat or meslin flour,2019,0,3651,0.00
0810,"""Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and ...",2019,0,490211,0.00
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes",2019,0,44838,0.00
